source,target
3,372
3,431
3,1990
3,2032
3,2064
3,2840
3,3132
3,3144
3,3536
3,3704
3,3705
3,4043
3,4272
3,4320
3,4321
3,4592
3,4600
3,4788
3,4966
3,5531
3,5731
3,5839
3,6074
3,6094
3,6324
3,6646
3,7005
3,7122
3,7440
3,8088
4,122
4,159
4,213
4,486
4,515
4,545
4,934
4,1328
4,1368
4,1444
4,1720
4,1753
4,1860
4,1924
4,1955
4,1977
4,1979
4,1995
4,2025
4,2069
4,2270
4,2418
4,2456
4,2543
4,2632
4,2691
4,2771
4,3222
4,3345
4,3393
4,3402
4,3555
4,3621
4,3691
4,4445
4,4447
4,4523
4,4601
4,4714
4,4871
4,4872
4,5018
4,5033
4,5150
4,5189
4,5584
4,5744
4,6060
4,6532
4,6573
4,6729
4,6791
4,6808
4,6856
4,6981
4,7022
4,7036
4,7298
4,7392
4,8229
5,154
5,233
5,494
5,498
5,559
5,717
5,770
5,919
5,1055
5,1083
5,1243
5,1542
5,1591
5,1683
5,1967
5,2027
5,2117
5,2516
5,2550
5,2576
5,2610
5,2671
5,3107
5,3144
5,3492
5,3579
5,3602
5,3701
5,3711
5,3849
5,3850
5,3916
5,4097
5,4215
5,4240
5,4428
5,4465
5,4989
5,5009
5,5067
5,5070
5,5116
5,5125
5,5526
5,5555
5,5591
5,5643
5,5888
5,6003
5,6180
5,6230
5,6582
5,6616
5,6655
5,6866
5,7021
5,7122
5,7132
5,7284
5,7329
5,7407
5,7441
5,7614
5,7626
5,7695
5,7726
5,7736
5,7803
5,7826
5,8235
6,21
6,26
6,40
6,49
6,72
6,81
6,108
6,134
6,138
6,159
6,245
6,253
6,255
6,292
6,314
6,326
6,330
6,344
6,368
6,374
6,376
6,403
6,409
6,411
6,413
6,416
6,436
6,476
6,480
6,489
6,492
6,534
6,540
6,551
6,596
6,621
6,627
6,631
6,639
6,648
6,750
6,755
6,760
6,764
6,770
6,788
6,806
6,815
6,823
6,832
6,849
6,862
6,866
6,868
6,896
6,900
6,908
6,909
6,933
6,943
6,944
6,967
6,990
6,996
6,1003
6,1019
6,1024
6,1030
6,1034
6,1140
6,1155
6,1165
6,1189
6,1224
6,1242
6,1275
6,1291
6,1308
6,1314
6,1320
6,1324
6,1346
6,1350
6,1351
6,1367
6,1375
6,1378
6,1379
6,1431
6,1433
6,1435
6,1469
6,1480
6,1496
6,1515
6,1522
6,1537
6,1545
6,1553
6,1558
6,1559
6,1575
6,1579
6,1590
6,1599
6,1617
6,1622
6,1625
6,1647
6,1685
6,1710
6,1723
6,1748
6,1782
6,1795
6,1808
6,1826
6,1829
6,1885
6,1907
6,1917
6,1926
6,1931
6,1937
6,1966
6,1967
6,1988
6,1995
6,2011
6,2013
6,2014
6,2015
6,2016
6,2038
6,2056
6,2068
6,2100
6,2101
6,2111
6,2116
6,2134
6,2144
6,2146
6,2172
6,2201
6,2224
6,2226
6,2229
6,2230
6,2232
6,2241
6,2247
6,2287
6,2320
6,2324
6,2331
6,2406
6,2444
6,2469
6,2484
6,2491
6,2506
6,2549
6,2562
6,2563
6,2566
6,2570
6,2574
6,2599
6,2637
6,2639
6,2646
6,2655
6,2663
6,2665
6,2684
6,2691
6,2694
6,2696
6,2698
6,2715
6,2718
6,2721
6,2724
6,2757
6,2783
6,2791
6,2849
6,2859
6,2865
6,2870
6,2871
6,2895
6,2905
6,2910
6,2919
6,2922
6,2949
6,3005
6,3030
6,3044
6,3047
6,3056
6,3057
6,3073
6,3092
6,3135
6,3138
6,3140
6,3151
6,3165
6,3184
6,3205
6,3215
6,3229
6,3233
6,3255
6,3262
6,3301
6,3314
6,3316
6,3324
6,3338
6,3342
6,3354
6,3355
6,3374
6,3394
6,3395
6,3411
6,3425
6,3452
6,3457
6,3472
6,3489
6,3493
6,3515
6,3526
6,3539
6,3549
6,3555
6,3567
6,3599
6,3606
6,3623
6,3643
6,3654
6,3656
6,3661
6,3679
6,3680
6,3686
6,3688
6,3712
6,3715
6,3723
6,3724
6,3742
6,3763
6,3765
6,3766
6,3769
6,3798
6,3823
6,3839
6,3841
6,3855
6,3883
6,3891
6,3894
6,3897
6,3927
6,3959
6,3963
6,3968
6,3997
6,4001
6,4027
6,4028
6,4051
6,4061
6,4095
6,4110
6,4121
6,4126
6,4131
6,4138
6,4141
6,4147
6,4150
6,4153
6,4155
6,4167
6,4169
6,4174
6,4176
6,4179
6,4180
6,4185
6,4220
6,4225
6,4232
6,4250
6,4269
6,4285
6,4296
6,4304
6,4307
6,4319
6,4327
6,4345
6,4381
6,4401
6,4403
6,4408
6,4416
6,4431
6,4435
6,4442
6,4482
6,4495
6,4509
6,4521
6,4527
6,4542
6,4564
6,4591
6,4594
6,4603
6,4625
6,4654
6,4668
6,4673
6,4688
6,4694
6,4712
6,4723
6,4728
6,4760
6,4761
6,4780
6,4786
6,4816
6,4837
6,4838
6,4845
6,4870
6,4890
6,4894
6,4922
6,4923
6,4948
6,4971
6,4982
6,4995
6,5006
6,5008
6,5029
6,5033
6,5044
6,5068
6,5080
6,5086
6,5098
6,5100
6,5116
6,5120
6,5140
6,5143
6,5182
6,5204
6,5240
6,5263
6,5275
6,5286
6,5288
6,5290
6,5296
6,5298
6,5317
6,5320
6,5335
6,5356
6,5377
6,5387
6,5395
6,5422
6,5436
6,5437
6,5442
6,5471
6,5501
6,5525
6,5540
6,5549
6,5552
6,5564
6,5577
6,5580
6,5596
6,5603
6,5631
6,5644
