source,target
1994,1151
547,55
3654,2324
6732,6665
3074,2251
3578,3708
7934,5179
6412,4687
7494,7495
6828,4713
7863,4981
4336,4191
6968,6523
4427,2871
7255,5801
1590,1593
1303,334
5167,5162
5228,5231
137,144
3781,3480
1739,1199
5418,5423
7536,7378
4695,4261
7698,7699
7834,7092
3691,3832
4950,2917
767,600
2783,2785
3003,2323
7427,3334
4167,4168
610,611
7578,8165
6515,4994
4241,4247
1527,960
1890,1855
1351,259
669,670
3215,2237
2021,665
448,28
1176,1186
5765,1473
2824,2825
6396,6400
1449,1319
8253,6634
1883,935
4627,3443
638,282
5161,5162
3783,3480
7403,6123
3230,3235
7914,5933
1016,565
7482,6243
1731,1732
1213,941
3837,2114
5853,5680
3657,2693
6147,6148
5924,5925
8242,4432
2441,2470
3212,2237
4905,4037
2047,4463
5244,5245
7852,6555
1773,1774
1408,1412
7827,6709
1071,1044
7531,7054
7600,7225
8273,4940
7445,7450
382,243
8023,6780
7782,6560
3151,2724
2173,1772
3758,2657
6908,5484
2633,2643
5265,1385
2852,1723
5676,3755
1226,922
7483,6243
2835,8292
2627,1717
8098,4037
2311,2285
4935,4335
3727,1297
4305,1157
3273,2625
7581,1026
6129,6094
1710,230
2391,2397
7935,5179
7320,7319
5895,3461
2782,2785
5766,5767
6074,5103
2243,2242
3358,3348
8095,5022
1523,1524
7645,7646
7098,7101
569,567
1845,1849
1274,1277
6351,6218
2239,2241
4405,1385
1194,1196
5490,4600
4322,4402
160,153
6297,6296
8108,4037
6675,6156
7028,6774
4556,4557
2438,2470
438,178
7122,5384
1941,1857
2382,1297
6022,5936
5158,5162
2288,2290
6688,6691
5373,5375
6410,4687
6120,4781
4697,4261
7892,6914
7287,5432
3353,2565
7485,6000
7875,7012
2023,665
7159,6327
7576,1026
8086,6780
7572,155
5220,5222
123,95
4612,4613
1676,1279
5594,4098
5978,4041
7619,7620
4971,1769
4122,2328
5718,3274
6092,4828
1214,941
7305,6714
8087,6780
4667,4666
4404,2289
3071,2251
5548,5484
1826,1842
6181,15
2637,2643
2945,2946
4794,4796
5573,4666
1635,797
7966,6422
2921,2918
4243,4247
5687,4099
2864,214
1244,6262
3651,3537
5682,5683
2450,2470
8001,8002
1753,1758
6797,5714
5397,5412
7310,5969
2890,2470
1327,299
2723,1049
7975,5096
1512,1513
4080,3720
6014,4175
1995,7497
4225,2240
6652,5254
6582,2285
888,863
5000,4792
6423,5738
2310,2285
1767,2678
1540,771
3487,3489
2147,2151
2896,2470
8203,7233
7111,7115
3698,2654
2453,2470
6485,6496
2141,2151
3605,974
821,822
519,524
8120,8121
1725,1726
3649,3650
7883,7882
7729,7730
1404,1412
5518,4191
2100,2101
2040,665
2301,1390
1685,1641
2827,765
6996,6997
7080,7797
6677,6156
2204,975
8052,5812
874,875
2454,2470
5607,2398
4755,4266
4766,3352
7941,7021
5221,5222
2891,2470
1576,8288
7065,2565
5774,5775
6705,5824
6672,6156
3036,3592
6787,6788
2986,2371
819,822
1461,1464
6878,5818
6572,4689
8133,7517
2868,214
2155,2157
1112,1080
4147,4463
4836,2237
3718,3005
4348,4349
6291,6296
6854,6855
8104,4037
2170,2544
6112,4875
344,135
134,601
4723,3635
4823,4706
3640,3650
2008,665
1448,1319
5183,3796
1784,1103
7103,7108
5435,3897
8072,5819
3229,3235
7462,7131
2057,1550
3264,3265
7814,7386
7806,5529
1579,1580
4847,2237
7268,6784
4340,4349
3436,2576
734,739
