method,source,hits_at_k,precision_at_k
adamic_adar,3,3,0.3
adamic_adar,4,6,0.6
adamic_adar,5,7,0.7
adamic_adar,6,7,0.7
adamic_adar,7,5,0.5
adamic_adar,8,10,1.0
adamic_adar,9,5,0.5
adamic_adar,10,10,1.0
adamic_adar,11,6,0.6
adamic_adar,12,5,0.5
adamic_adar,13,2,0.2
adamic_adar,14,6,0.6
adamic_adar,15,3,0.3
adamic_adar,16,3,0.3
adamic_adar,17,8,0.8
adamic_adar,18,1,0.1
adamic_adar,19,4,0.4
adamic_adar,20,6,0.6
adamic_adar,21,4,0.4
adamic_adar,23,7,0.7
adamic_adar,24,6,0.6
adamic_adar,25,7,0.7
adamic_adar,26,7,0.7
adamic_adar,27,5,0.5
adamic_adar,28,9,0.9
adamic_adar,29,6,0.6
adamic_adar,31,2,0.2
adamic_adar,32,1,0.1
adamic_adar,33,8,0.8
adamic_adar,34,1,0.1
adamic_adar,35,8,0.8
adamic_adar,36,8,0.8
adamic_adar,37,2,0.2
adamic_adar,38,2,0.2
adamic_adar,39,6,0.6
adamic_adar,40,1,0.1
adamic_adar,41,7,0.7
adamic_adar,42,6,0.6
adamic_adar,43,1,0.1
adamic_adar,44,4,0.4
adamic_adar,45,2,0.2
adamic_adar,46,3,0.3
adamic_adar,47,6,0.6
adamic_adar,48,8,0.8
adamic_adar,49,2,0.2
adamic_adar,50,2,0.2
adamic_adar,51,2,0.2
adamic_adar,53,5,0.5
adamic_adar,54,2,0.2
adamic_adar,55,10,1.0
adamic_adar,56,4,0.4
adamic_adar,57,1,0.1
adamic_adar,58,5,0.5
adamic_adar,59,5,0.5
adamic_adar,60,2,0.2
adamic_adar,62,4,0.4
adamic_adar,66,5,0.5
adamic_adar,67,2,0.2
adamic_adar,68,3,0.3
adamic_adar,71,4,0.4
adamic_adar,72,6,0.6
adamic_adar,73,4,0.4
adamic_adar,74,6,0.6
adamic_adar,75,5,0.5
adamic_adar,77,3,0.3
adamic_adar,78,4,0.4
adamic_adar,79,6,0.6
adamic_adar,80,9,0.9
adamic_adar,81,4,0.4
adamic_adar,83,2,0.2
adamic_adar,86,7,0.7
adamic_adar,87,5,0.5
adamic_adar,89,6,0.6
adamic_adar,90,4,0.4
adamic_adar,92,1,0.1
adamic_adar,94,4,0.4
adamic_adar,96,1,0.1
adamic_adar,99,2,0.2
adamic_adar,101,4,0.4
adamic_adar,102,1,0.1
adamic_adar,103,5,0.5
adamic_adar,104,5,0.5
adamic_adar,105,1,0.1
adamic_adar,109,7,0.7
adamic_adar,110,5,0.5
adamic_adar,111,4,0.4
adamic_adar,113,5,0.5
adamic_adar,116,1,0.1
adamic_adar,120,2,0.2
adamic_adar,121,1,0.1
adamic_adar,122,5,0.5
adamic_adar,125,5,0.5
adamic_adar,126,6,0.6
adamic_adar,127,4,0.4
adamic_adar,128,5,0.5
adamic_adar,129,2,0.2
adamic_adar,130,5,0.5
adamic_adar,132,4,0.4
adamic_adar,133,1,0.1
adamic_adar,134,1,0.1
adamic_adar,135,3,0.3
adamic_adar,136,2,0.2
adamic_adar,138,7,0.7
adamic_adar,139,3,0.3
adamic_adar,140,6,0.6
adamic_adar,142,4,0.4
adamic_adar,143,5,0.5
adamic_adar,145,5,0.5
adamic_adar,147,6,0.6
adamic_adar,150,5,0.5
adamic_adar,151,7,0.7
adamic_adar,152,2,0.2
adamic_adar,154,5,0.5
adamic_adar,155,5,0.5
adamic_adar,156,1,0.1
adamic_adar,157,4,0.4
adamic_adar,158,1,0.1
adamic_adar,161,4,0.4
adamic_adar,163,1,0.1
adamic_adar,164,1,0.1
adamic_adar,166,3,0.3
adamic_adar,169,1,0.1
adamic_adar,171,8,0.8
adamic_adar,172,7,0.7
adamic_adar,173,5,0.5
adamic_adar,175,1,0.1
adamic_adar,176,6,0.6
adamic_adar,177,3,0.3
adamic_adar,178,7,0.7
adamic_adar,179,3,0.3
adamic_adar,180,1,0.1
adamic_adar,181,1,0.1
adamic_adar,182,9,0.9
adamic_adar,185,1,0.1
adamic_adar,187,4,0.4
adamic_adar,191,2,0.2
adamic_adar,192,4,0.4
adamic_adar,193,3,0.3
adamic_adar,194,2,0.2
adamic_adar,197,3,0.3
adamic_adar,199,2,0.2
adamic_adar,201,5,0.5
adamic_adar,202,4,0.4
adamic_adar,203,8,0.8
adamic_adar,204,2,0.2
adamic_adar,205,2,0.2
adamic_adar,208,2,0.2
adamic_adar,209,1,0.1
adamic_adar,215,4,0.4
adamic_adar,216,3,0.3
adamic_adar,218,1,0.1
adamic_adar,221,2,0.2
adamic_adar,222,1,0.1
adamic_adar,223,5,0.5
adamic_adar,224,2,0.2
adamic_adar,226,6,0.6
adamic_adar,228,1,0.1
adamic_adar,230,1,0.1
adamic_adar,231,7,0.7
adamic_adar,232,3,0.3
adamic_adar,236,7,0.7
adamic_adar,237,3,0.3
adamic_adar,238,1,0.1
adamic_adar,240,2,0.2
adamic_adar,241,1,0.1
adamic_adar,243,1,0.1
adamic_adar,244,1,0.1
